BIT	FILTER	WEIGHT	NEURON
         1	        14	       517	       104
         6	        37	       213	        78
         4	        48	        14	        40
        11	        49	       252	       181
        27	        13	       777	       169
         3	        44	       353	         2
        16	        14	       399	       102
         4	        16	       678	       137
        30	        11	       569	        49
        16	        46	       519	       153
        30	        21	       145	       178
         6	        45	       215	        45
        26	        32	       430	        34
        13	        48	       476	        25
        30	        11	       515	        34
        27	        41	       231	       121
        20	         0	       382	        25
        15	         5	       602	        65
        26	        43	       151	       164
        24	        15	       322	        55
        15	        48	        49	       164
         0	        13	       313	       135
        24	        29	       129	        95
         6	        41	       652	       131
         9	        11	       480	        24
        16	        26	       294	        67
         5	        29	       555	       177
        12	        13	       656	        16
        30	        33	       536	       126
        14	        50	       509	        26
        15	        63	       121	        61
         8	        38	       528	       129
        17	        48	       778	       121
        10	        16	       780	       163
        13	        56	       717	        74
         5	        29	       662	        67
        31	        14	       322	        53
         0	        31	       212	       147
        30	        45	       741	        22
        19	        53	       504	        20
         6	         2	       326	       120
        18	        50	       160	        99
        10	        45	       313	       104
        10	        15	       115	        21
        30	        21	       215	       190
        21	        43	       558	       135
        24	        19	       282	        88
         8	        50	       400	       190
        20	        54	       383	        50
         9	        31	       357	       171
        12	        31	       451	       150
        14	        55	       128	       136
        12	        23	       299	       125
         2	        25	       533	       190
        12	        47	       166	         0
         1	        55	       483	        77
        13	         2	        59	        58
         1	        32	       522	        93
        31	        45	       675	        50
         4	        35	       314	       105
        26	        37	       786	       104
        30	         7	       215	       122
        22	        29	        63	       111
        20	         2	       172	        90
         4	         7	       536	        81
         8	         2	       722	        55
        16	        21	       181	       112
        25	        16	       133	       143
        21	        56	        80	        44
        31	         7	       670	       106
         4	        61	       173	        69
        31	        58	       283	       131
         1	        19	       680	       177
        22	        58	       721	        86
        16	        38	       250	        45
        22	        32	       316	       128
        24	        44	         0	       191
        19	        62	       525	       132
        28	        27	       209	        95
        21	        12	       287	       158
        31	        39	       160	        21
         2	        17	       667	       102
        23	        22	       539	       186
        22	        55	       602	       170
         4	        58	       453	        27
        24	        51	       175	       164
        14	         0	       272	       111
        12	        47	       761	        12
        22	        57	       193	        92
        10	        29	       682	        10
        19	        37	        80	        13
        29	        10	       695	       117
         4	        28	       184	       184
        15	         8	        49	         1
         8	        33	        96	        53
        16	        58	       321	       122
        19	        34	       671	        46
        31	         9	       128	        30
        15	        48	       347	       184
        26	        18	       589	       166
        15	        37	       250	       186
        13	        43	       444	       126
        12	        28	        11	        48
        22	        12	       579	        34
        14	        34	       168	       122
        11	         8	       640	       194
        24	        60	        38	       146
        14	        51	       240	       189
        25	        42	        60	       194
        22	        24	       476	        54
        20	         7	        31	       195
        19	         2	       181	       126
         4	        29	       752	        15
         5	        16	       202	       133
        12	        16	        15	       123
         4	        63	       248	       125
         9	        20	       771	        43
        12	        32	       610	        89
         7	        33	       460	       139
         3	         1	       637	       151
        30	        45	       534	        87
        29	         0	       256	        90
        17	        47	        37	       117
        14	        61	       434	       119
        18	        21	       119	        66
        21	        57	       575	       117
        26	        11	       664	       149
        12	        21	       740	       114
         2	        26	       269	        47
        27	        13	       649	        40
        28	        46	        97	        26
        12	        51	       258	       146
         8	        25	       540	         2
        18	        28	       699	        48
         7	        51	       105	       144
         8	        45	       606	        30
         7	        12	       745	        38
        25	        19	       174	        58
         1	        15	       736	        85
         2	         2	       139	       175
        27	        40	       297	        17
         4	        36	       313	        91
        23	         2	       383	       191
        15	        62	       649	       195
        10	        50	       569	        91
         5	        40	       281	         7
        23	        58	       340	         2
        28	        32	       773	       152
         8	        14	       325	        96
        18	        31	       663	        77
         1	        23	       520	        13
        21	        17	       712	       191
         3	        33	        34	       121
         9	        60	       432	       121
        22	         4	       475	        38
         4	         0	       394	       112
        14	        16	       632	       104
        15	        48	       329	        88
         7	        49	         1	       164
         2	        41	       795	       153
        11	        61	       142	        84
        25	        30	       725	        11
         3	        16	       386	        11
        16	        44	       276	       126
        28	        44	       318	        39
        28	        39	       444	        19
        24	        29	       191	        74
         7	        58	       160	        22
        24	        46	       486	        21
        13	        60	       449	       132
        12	         3	       183	       157
        15	        43	        91	       160
        24	        26	       343	        40
         1	        19	        88	        42
        17	        23	        84	        24
        18	        20	       458	        62
         3	        48	       603	        72
        12	        28	       352	       145
        31	        55	       694	        63
         3	        17	       187	        79
        11	        18	       655	       173
         6	         7	       519	        83
        31	        59	       207	        49
        16	        25	       283	       147
         9	        54	       323	       114
        19	        35	       303	       114
        26	         5	       449	       161
        22	        60	       184	       154
        15	        40	       143	        45
        15	        54	       652	        66
        17	        27	       159	       129
        20	        58	       116	       145
        17	        55	        19	         8
        26	        34	       214	        29
         7	        56	       594	        90
        20	        43	       192	       127
        19	        47	       568	       106
         5	         4	       273	       174
        31	        16	        88	       179
        11	        44	       401	        16
         4	         4	       640	       182
         7	        54	       243	        66
        14	        38	       428	        35
        17	        12	       550	        52
        27	        31	       550	       164
         3	        55	       279	       123
         8	        15	       182	        63
        27	        39	       751	       139
        12	        15	       382	        67
         5	        17	       225	       128
        23	        46	       247	        88
        26	        61	       428	       178
        28	        19	       502	        52
        10	        13	       387	        26
        28	        25	       101	        84
         1	        52	       695	        25
         3	        21	       672	        61
         7	        33	       413	        30
        15	        20	       711	       158
        17	        19	        32	        50
         6	        22	        46	       161
         4	        49	       739	        68
        10	        41	       600	       135
        29	        16	       632	        17
         5	        56	       682	        60
        26	        39	       459	        97
        27	        18	       755	        52
         5	        51	       602	        44
        10	        40	       413	       166
        25	         0	       718	        36
         9	         7	       655	        23
        23	        40	       232	        48
         0	        18	       777	        78
        25	        52	       420	         0
         6	        23	       192	        91
        11	        59	       311	        25
         3	        52	       483	        33
        21	        49	       769	       158
        24	        16	       421	         3
        24	        13	       332	        85
        31	        21	       467	       156
         9	        55	       556	       135
        15	        13	       634	         6
         8	        50	       367	        23
         6	        50	       168	       147
         3	         9	       282	        40
        26	        31	       715	        18
        13	        55	       747	       132
        12	        63	       517	        25
        22	        49	       420	       177
        30	        31	       351	       122
        17	        14	       562	       119
         0	        26	       179	        56
         4	        13	         0	        14
        12	        43	       720	        69
         3	        60	       710	        75
        27	        11	       389	        69
        28	        41	       215	        19
         8	        22	       353	       153
         5	        51	       145	        97
        14	        36	       681	       182
        17	         9	       656	        81
        21	         0	       535	       100
        28	        29	       743	        43
         8	        12	       681	       120
        22	        32	       511	        74
        22	        33	       632	       191
        20	        41	       609	       118
        13	        10	       148	        18
        20	         4	       699	       121
         5	        18	       193	       169
        15	        40	       121	       179
        21	        34	       188	       187
         2	        27	       425	       124
        28	         1	        20	        45
        10	        21	       627	       155
        31	         8	        85	       147
        12	        17	       476	        69
         3	        29	        51	        99
         6	        12	       362	        99
        14	        38	       294	       112
         2	        15	       296	       190
        17	        60	       719	        19
        17	         3	       659	       177
        11	        40	       772	        99
        25	        33	       777	       117
        30	        60	       560	       180
         8	        26	        63	        90
         1	        37	       262	        19
        21	        14	       449	       142
        11	        17	       225	        76
        20	        52	       749	       179
        29	        50	        54	       126
        19	        31	       275	        93
        27	        35	        86	        15
        30	        21	       697	       171
        27	        63	       418	        28
        14	         3	       246	       101
        20	        55	       181	       116
        12	         3	       103	        65
        21	        62	       767	        20
        29	        19	       537	       177
        22	        47	       220	       144
         5	        54	        83	        96
        21	        53	       272	       151
        25	        38	        60	       177
        29	        18	       374	        49
        21	        61	       306	        38
        27	        50	       722	        93
         5	        43	       786	        19
        27	        46	       496	       168
         4	        35	       448	       166
        25	        16	       669	        14
        22	        58	       575	        63
        12	        21	       445	        29
        19	        47	       235	       102
         1	        61	       103	       138
         8	        57	       546	       111
         8	        18	        67	        96
        21	         3	       742	       106
        19	         4	       320	       173
        30	         0	       317	       186
        21	        58	       267	        40
         9	        22	        55	        19
        19	        30	       689	       155
        24	        19	       735	        52
         5	        34	       780	        63
         6	        51	       265	       189
        23	        10	       291	       133
        10	        32	       799	       175
        26	        42	        72	        87
         0	        63	       686	       175
        29	         0	       110	       125
        19	        13	       789	        81
        16	         2	       404	        54
        21	        61	       335	         4
         7	        18	       513	        89
        18	        32	       337	        84
        10	        57	       752	        62
        24	        30	       381	         9
        30	        43	       619	       118
        25	         0	       331	       173
         2	        63	       767	       131
        28	        14	       355	       188
         1	         4	       565	       167
         4	         6	       128	       126
        31	        48	       664	        75
        14	        21	       237	       133
         1	        24	       223	       174
        24	        10	       675	        15
         9	        34	       722	       117
        16	        54	       169	       137
        26	        31	       293	       191
         5	         5	       749	        57
        21	         6	       412	       179
        27	        41	       464	        48
         1	        15	       534	       118
        25	        57	       373	       170
        27	         7	       392	       140
        29	        49	       125	        24
        16	         2	       567	        14
         7	        36	       795	       136
        10	        55	       224	        50
         1	        48	       194	       158
         0	        57	       540	        25
        18	        49	       220	       138
        25	        36	       346	       158
        21	        55	       270	        74
        26	         5	       668	       161
        10	        55	       286	        48
        14	        62	       378	        83
        14	        61	        50	        58
        22	        46	       264	       164
         0	         4	       246	        45
         8	        16	       655	       161
         8	        62	         3	        70
         3	        63	        99	       185
        22	         1	       706	       189
        31	        28	       148	        54
        25	        38	       636	        63
        21	        36	       120	       149
         8	        46	       366	       104
        31	        29	       110	       131
        27	        49	       393	        83
        17	        12	       588	       107
        14	        14	        44	       165
        11	         1	       283	        96
         7	        24	       116	       152
        28	        12	       689	       109
        26	        63	       245	         1
        29	         3	         0	        84
        21	         9	       151	       170
        22	        36	        45	       136
        18	        26	       305	        25
        27	        45	       770	       154
         5	        54	       479	        29
         2	        48	       646	       104
        16	        28	       150	        13
        31	        54	       293	       176
         0	        29	       794	        94
         1	         8	       218	        87
         2	        43	       305	       117
        24	        51	        63	       161
         9	        62	       415	         7
        15	         5	       167	       175
         1	        29	       204	       117
        20	        49	       437	        24
        14	        16	       714	        91
        24	        36	        67	       130
        15	        20	        87	       100
         7	        54	       453	        16
        21	        36	       251	       124
        10	         2	       451	        23
         0	        47	       748	        44
         0	        34	       136	        99
        18	        50	       638	       114
        22	         1	       260	        81
        21	        59	       269	        52
        17	        19	       396	       186
        23	        39	       650	       193
        10	        13	        13	       162
        28	        57	       126	       189
        27	         6	       716	        97
        24	        10	       375	        10
        12	        27	       147	        25
        22	         1	       734	        80
        20	        10	       430	       171
        18	        57	       461	       156
         6	        26	        70	        59
        19	        36	       512	        71
        10	        44	       668	       186
        22	        20	       432	        30
        15	        35	       356	       102
         4	        34	       110	        32
        12	        60	       132	       166
        21	        49	       314	        96
        11	        32	       159	        38
         4	        31	       301	       150
        11	        10	       272	       165
        30	         0	       196	       117
         4	        40	       627	        92
        10	        33	        33	        74
        30	         5	       277	        19
        22	        15	       271	        85
        16	        14	       287	        12
        13	        45	         3	       172
        23	        51	       602	       185
        20	        62	       130	        84
         6	        54	       256	        80
        23	        33	       166	       113
         6	        59	        41	       152
        11	        24	        93	        47
         7	        61	       271	        12
        10	        18	       365	       121
         6	         7	       758	       182
         5	        24	       402	        55
        14	        50	       123	        90
        20	         1	       283	       194
        29	        36	       471	       116
        29	        52	       387	        76
        17	        50	       792	        11
         5	         5	       348	        31
        12	        50	       677	       109
        11	        23	       220	       149
         9	        23	       255	        93
        25	        27	       600	       138
        31	        47	       798	        32
         3	        33	       544	       181
        19	        25	       400	       188
        30	        45	       131	        67
        31	        40	       476	        66
        31	        57	       612	        21
        16	         3	       678	       137
        30	        62	       255	       150
        13	        29	       282	        13
        30	        59	       422	       146
        20	        22	       234	       106
         3	        14	       349	       123
        22	        26	       493	        42
        19	        17	       255	        87
        21	        37	       557	       143
         4	        12	       561	         5
        10	        44	         2	       100
         7	         8	       410	        55
        31	        37	       717	        66
        19	        11	       357	       157
         5	        19	       159	       176
         4	        30	       699	       137
         4	        40	       525	       148
        21	        62	       377	        55
        10	        28	       711	       181
         4	         2	       108	        43
         7	        58	       230	        46
         5	        43	       323	       130
        30	        35	       418	       151
         1	        61	       540	       145
         6	         9	       717	       147
         8	        39	       250	        78
         3	         1	       356	        63
         3	        16	        43	       106
        10	        17	       292	        11
        28	         8	       281	       123
        11	        27	       510	       180
        25	        58	       562	        23
         4	        31	       602	       160
         6	        20	       670	         5
        21	         2	       401	        49
        19	        28	       163	        77
        13	         8	        77	       121
        16	        38	       292	       179
         2	         2	        39	        15
        29	        25	       282	       185
        25	        52	       557	       147
         8	        11	       681	        21
        14	        58	       310	       157
        22	        58	       190	         3
         2	        43	       588	       106
        18	        17	       589	        76
        19	        52	       623	       136
        14	         9	       625	        63
        29	        30	        38	        21
        10	        15	       386	       108
         9	        25	       377	       151
        19	        23	       386	       129
         3	        15	       711	        69
         0	        52	         9	         7
         8	        24	       196	        10
         1	        21	       285	       110
        20	         4	       611	         6
        19	         5	       598	        53
        30	        47	        92	       185
         6	        31	       422	       153
        14	        45	       254	       150
         1	         7	       417	        98
        31	         5	       384	        92
        27	        62	       670	       155
         2	         1	       173	        21
         7	         3	       754	       113
        18	        47	       599	       136
        14	        29	        34	       140
        11	        32	       458	        52
         8	        11	       118	       171
        17	        55	       744	        76
        21	        38	       283	       143
         8	        40	        76	        83
        11	        63	       660	        33
        14	        43	       277	        20
         9	        23	       600	        92
        24	         2	       544	       104
        13	        55	       167	       162
        14	        47	       266	       123
        22	         5	       570	       170
        13	        38	       557	       152
         5	         1	       117	        51
        13	        11	       175	        70
         2	         7	       714	        38
         9	        10	       378	        95
         1	        34	       405	        87
        17	         0	       786	        67
         5	        44	       613	        15
        19	        18	       267	       156
        20	         1	       300	        97
        12	        27	       695	        14
         3	         1	       713	       100
        11	         3	       163	       125
         5	        57	       636	        23
        25	        15	       190	        58
        27	         4	        49	       190
        22	        61	       775	       166
        30	        19	       747	       166
        14	        34	       536	        13
         3	         1	        94	       151
         5	         1	       220	       190
        26	        56	       545	         7
         7	         0	       594	        43
         4	        35	        49	        54
         0	        24	       645	       122
        11	        48	       712	         6
        19	        33	       107	       190
         2	        41	       421	        39
        11	        33	       146	       177
        26	        51	       665	         9
        19	        11	       292	        91
        14	        54	       146	       159
        14	        23	        45	       190
         7	        22	       724	       130
        23	        63	       625	       105
         9	        54	       673	        48
        24	        19	       185	       182
         6	        18	       371	        38
        29	        56	       113	         4
        14	         3	       795	        64
        26	         8	       502	        54
        30	        10	       476	        69
        10	        13	       335	       163
         4	        48	       391	        48
         3	         0	       430	       137
        19	        33	       131	       176
        25	        53	       668	       147
        24	        23	       164	       175
         0	        58	       661	       166
         5	        49	       180	       143
        31	         3	       706	        79
        19	         9	       383	       158
         9	        45	       447	       140
        14	         3	       205	        48
        24	         9	       623	        24
         1	        51	       451	       145
        14	        56	       159	        67
        10	        19	        66	        37
        22	         4	       140	        73
        13	        11	       639	        86
        24	        63	       211	       178
         2	         0	       302	        50
         9	        30	       330	       158
        17	        46	        75	        87
         6	        43	       530	       104
        30	        52	       601	        93
        24	        37	       318	       165
        16	        30	       700	       140
        29	        15	       271	        47
        15	        29	       409	       100
        27	         3	       547	       181
        17	        46	       140	       144
        25	        63	       232	       160
        19	        34	       525	        52
         7	        11	       689	       100
         9	        13	       160	        62
        28	        15	       165	        51
        13	        62	       548	       108
         2	         7	       725	       167
        21	         2	        75	       123
         1	        52	       679	       132
        22	        20	       448	        25
        31	        18	       277	         5
        31	        54	       655	        32
         5	        53	       711	        66
        19	        43	       635	        61
        18	        16	       169	       180
        18	        52	       471	        19
         8	        30	       424	        42
        18	        40	       380	        69
        26	        49	       410	        18
         7	        42	       726	        45
        31	        61	       447	       110
         9	        58	       616	       119
        11	        49	       291	       137
         5	        58	       593	        78
        24	        57	       492	        62
         1	        40	       380	       140
        26	        54	       150	       177
         0	        12	       750	       183
         9	        14	       146	       118
         8	        26	       174	        19
        11	        17	       657	        40
        12	        34	       126	        80
        27	        11	       719	       132
        19	        11	       664	         1
         1	        14	       111	       194
        26	        61	       705	        40
        11	        51	       118	        92
        13	        36	       775	       148
        22	        24	       105	        66
        26	         7	       390	        25
        18	        21	       210	        34
         0	        42	       531	       106
        25	        34	       708	       167
         0	        37	        87	        43
        25	        14	        63	       194
        18	        39	       255	       168
        31	         8	       106	        70
        15	        17	       559	       162
         6	        33	       200	        55
        12	        59	       777	       105
        30	        45	       568	        14
        18	        16	       201	        43
        30	        41	       658	       124
        16	        17	       281	       123
        25	        35	       489	        32
        20	        25	       522	        71
        26	        50	       674	        70
        14	        11	       555	       172
        24	        36	       170	       118
        20	        51	       566	       138
        28	         8	        66	       132
        25	        27	       732	        66
        31	         5	       442	        47
        30	        37	       430	       125
        23	        48	        63	       105
        27	        43	       785	        35
        15	        27	       446	       155
        15	        52	       181	        51
        28	        55	        24	       105
        19	        20	       103	        10
        25	        33	       773	       144
         6	        20	       753	        90
         4	        48	       355	       100
        27	        53	       275	        18
        16	        49	       269	        51
         5	         2	       459	       165
        26	        35	       310	       189
        23	        61	       447	        88
        31	        36	       232	        73
        24	        25	        35	       109
        10	        39	       317	       121
        28	        48	       784	        24
         2	        61	       620	       127
         0	        23	       233	        34
        26	        31	       167	       101
        29	        38	       289	        80
        10	        10	       705	       171
         3	        37	       512	        57
        12	        61	       211	         4
        13	        35	       756	       115
         0	        32	       599	        16
        23	         0	       122	        93
        31	        33	       194	        32
         7	        36	       216	       130
        14	        26	       117	        93
        31	        21	       639	        59
        18	        18	       723	       159
        21	         7	       431	        81
         8	        38	       662	        19
         6	        16	       753	        37
        18	        51	       482	       157
        23	        58	       683	        57
        20	        32	       567	        91
        21	        22	       446	       147
         8	        17	       583	       189
        25	        22	       658	        41
        28	        40	       288	        82
        25	        49	       103	       175
         5	        41	       324	       124
         4	        48	       322	       184
        16	        25	       204	         2
        15	        42	       141	       131
        28	        20	       660	        49
        10	        38	       342	        22
        15	        54	       200	        16
         8	        48	       787	       193
        25	        23	       745	       149
         7	        11	       438	        40
         4	         2	       382	       135
        12	        43	       554	       148
         0	        30	        93	       158
         5	        19	        81	        88
        10	        25	       476	        62
         9	        15	       511	       135
         6	         8	       704	       150
        20	        22	       486	       180
        24	        36	       236	       193
        15	        54	       749	        23
        21	        43	       186	        14
        30	        11	       622	        84
         4	        10	       346	       174
        25	        57	       465	        95
         2	        49	       589	       126
         8	        51	       526	        64
        23	        26	       485	       175
        17	        19	       534	       106
        30	        48	       160	         0
        27	        46	       517	       168
        24	        63	        78	        97
        25	        31	       688	       123
        16	        62	       337	       188
        17	        31	       633	       189
        26	        30	       144	        71
        17	        38	       753	        23
        23	        49	       108	        26
        31	        49	       434	         7
        16	         0	       680	        77
        31	        56	       260	        76
        22	        53	       552	       168
        21	         1	       561	        23
         0	        33	       282	       153
         7	        11	       161	       174
        28	        45	       433	        39
        30	        35	       786	       102
         4	        26	       312	       155
        18	        28	       211	       177
        18	        60	       593	        23
        29	        34	       534	        13
         3	        16	       431	        66
        27	        48	       489	       127
        29	        26	       466	       111
        29	        36	         9	       153
        30	         1	       613	         0
        30	        24	       345	       184
        20	        10	       215	       174
        12	        13	       559	         7
        29	        30	        58	       148
        14	        35	       591	       107
        29	         1	       518	        86
         5	        48	       540	        75
        17	         1	       595	        71
        25	        13	        31	       162
        23	        22	       768	       100
         3	        47	       339	       104
        14	        45	       600	        92
        16	         7	         8	       137
         8	        46	        40	       157
        30	        36	       752	       192
         5	         4	       415	       182
        17	        31	       588	       176
        21	        44	       460	       193
        28	        32	       217	        10
        13	        18	       710	       186
        25	        14	       171	       146
        29	        51	       431	        43
        23	        32	       363	       104
         4	        11	       347	       137
        10	        39	       157	        59
        20	        10	       120	        96
        10	        18	       186	       163
         4	        32	       469	       125
        15	         1	       191	        52
        20	        47	       615	        28
        15	        51	       232	        35
        30	         3	       424	       168
        11	         5	       615	       139
        15	         0	        47	        65
        18	         9	       241	       166
         9	         6	       115	        32
         7	        19	       612	       180
         2	        12	       264	       177
        31	        16	       388	       161
        20	        44	       709	        87
        17	        44	       766	        49
        12	        45	       666	        82
        22	        43	        84	        83
        18	        40	       280	       121
        27	        60	       789	        81
         8	        61	       334	       103
        14	        18	       452	       146
        30	        41	       385	       131
        22	        31	       624	         6
        12	        43	       449	        62
        22	        53	        97	       140
        29	        25	       450	       168
        22	        55	        85	        98
        21	        35	       582	        23
        21	        42	       485	       151
        20	         6	       707	        94
         5	        19	        44	       165
        30	        45	       659	       109
         3	        20	       701	       180
        14	        31	       761	         4
        23	        46	       162	        96
        18	         8	       591	        11
        19	        52	       443	        63
        26	        30	       721	        67
        17	        29	        16	        32
        11	         3	       741	        34
        23	        34	       110	       177
         2	         7	       585	        13
        22	        44	       229	        88
        20	        52	       655	        27
         8	        10	       110	       158
         8	        31	       225	       178
        29	        17	       650	       100
        20	        15	       662	       175
        17	        36	       273	        27
        12	        58	       620	       134
         6	        49	        10	       163
         5	        57	       738	        41
         4	        49	       719	        48
        16	        48	         6	       181
         1	        16	       757	        29
        31	        11	       257	        65
        16	        50	        68	        40
